 Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   Equivalent_Plastic_Strain   Displacements:0   Displacements:1   Displacements:2   vtkOriginalPointIds   Points:0   Points:1   Points:2 
4.42477e+09 -3.94237e+06 0.00000e+00 -2.70278e+06 5.02061e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.19985e+09 5.10132e-02 -6.69803e-02 0.00000e+00 0.00000e+00 700 1.77513e+00 0.00000e+00 0.00000e+00
4.24406e+09 -2.13660e+06 0.00000e+00 -5.87761e+05 4.93109e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.13315e+09 5.11807e-02 -6.72472e-02 0.00000e+00 0.00000e+00 720 1.82749e+00 0.00000e+00 0.00000e+00
4.15583e+09 -2.95172e+06 0.00000e+00 -1.03214e+06 4.86351e+09 0.00000e+00 0.00000e+00 0.00000e+00 4.06453e+09 5.11765e-02 -6.74411e-02 0.00000e+00 0.00000e+00 740 1.87993e+00 0.00000e+00 0.00000e+00
4.04624e+09 -5.74181e+06 0.00000e+00 -3.43204e+06 4.76625e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.96676e+09 5.08547e-02 -6.76214e-02 0.00000e+00 0.00000e+00 760 1.93238e+00 0.00000e+00 0.00000e+00
3.88386e+09 -6.69204e+06 0.00000e+00 -4.23186e+06 4.61418e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.81787e+09 5.03393e-02 -6.77792e-02 0.00000e+00 0.00000e+00 780 1.98485e+00 0.00000e+00 0.00000e+00
3.77660e+09 -7.22622e+06 0.00000e+00 -4.68349e+06 4.48971e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.67068e+09 4.99058e-02 -6.79640e-02 0.00000e+00 0.00000e+00 800 2.03730e+00 0.00000e+00 0.00000e+00
3.54058e+09 -8.48193e+06 0.00000e+00 -5.86431e+06 4.28306e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.47472e+09 5.01583e-02 -6.80708e-02 0.00000e+00 0.00000e+00 820 2.08982e+00 0.00000e+00 0.00000e+00
3.42103e+09 -1.18617e+07 0.00000e+00 -9.16088e+06 4.16614e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.35229e+09 5.08349e-02 -6.82367e-02 0.00000e+00 0.00000e+00 840 2.14229e+00 0.00000e+00 0.00000e+00
3.23096e+09 -1.26480e+07 0.00000e+00 -1.00187e+07 4.00359e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.20801e+09 5.16482e-02 -6.82871e-02 0.00000e+00 0.00000e+00 860 2.19487e+00 0.00000e+00 0.00000e+00
3.02775e+09 -1.31405e+07 0.00000e+00 -1.06691e+07 3.82241e+09 0.00000e+00 0.00000e+00 0.00000e+00 3.04540e+09 5.20514e-02 -6.84451e-02 0.00000e+00 0.00000e+00 880 2.24734e+00 0.00000e+00 0.00000e+00
