 PK2:0   PK2:1   PK2:2   PK2:3   PK2:4   Logarithmic_strain_components:0   Logarithmic_strain_components:1   Logarithmic_strain_components:2   Logarithmic_strain_components:3   Logarithmic_strain_components:4   Spatial_displacement:0   Spatial_displacement:1   Spatial_acceleration:0   Spatial_acceleration:1   Spatial_velocity:0   Spatial_velocity:1   Reaction_force:0   Reaction_force:1   Stress_Mises   Stress_Max_Principal   Stress_Mid_Principal   Stress_Min_Principal   Stress_Pressure   Stress_Tresca   Stress_Third_Invariant   Logarithmic_strain_Max_Principal   Logarithmic_strain_Min_Principal   vtkOriginalPointIds   Points:0   Points:1   Points:2 
7.01025e+10 4.53049e+08 4.53049e+08 -2.45755e+08 1.63471e+10 3.23842e-01 6.28615e-03 6.28615e-03 -1.64904e-01 0.00000e+00 -6.49692e-01 0.00000e+00 -5.61090e+06 0.00000e+00 -4.54895e+02 0.00000e+00 0.00000e+00 3.03260e+07 6.37045e+10 7.01055e+10 1.63471e+10 -2.48743e+08 -2.87346e+10 7.03543e+10 5.85142e+10 3.23863e-01 -1.64925e-01 20 4.61420e-01 0.00000e+00 0.00000e+00
6.40455e+10 5.64925e+08 5.64925e+08 -5.42600e+09 1.24531e+10 3.04088e-01 7.72642e-03 7.72642e-03 -1.71234e-01 0.00000e+00 -6.08937e-01 0.00000e+00 -2.98205e+06 0.00000e+00 -5.86464e+02 0.00000e+00 0.00000e+00 8.11411e+08 6.24915e+10 6.40501e+10 1.24531e+10 -5.43062e+09 -2.36909e+10 6.94807e+10 5.62749e+10 3.04120e-01 -1.71266e-01 22 6.13286e-01 0.00000e+00 0.00000e+00
6.18104e+10 6.42121e+08 6.42121e+08 -7.54866e+09 1.09240e+10 2.97050e-01 8.73112e-03 8.73112e-03 -1.74503e-01 0.00000e+00 -5.70649e-01 0.00000e+00 2.36686e+06 0.00000e+00 -5.35518e+02 0.00000e+00 0.00000e+00 1.12844e+09 6.22247e+10 6.18163e+10 1.09240e+10 -7.55462e+09 -2.17286e+10 6.93709e+10 5.55295e+10 2.97090e-01 -1.74544e-01 24 7.62684e-01 0.00000e+00 0.00000e+00
6.49335e+10 6.39275e+08 6.39275e+08 -6.02346e+09 1.22536e+10 3.08920e-01 8.73264e-03 8.73264e-03 -1.75906e-01 0.00000e+00 -5.32048e-01 0.00000e+00 7.70542e+06 0.00000e+00 -4.07039e+02 0.00000e+00 0.00000e+00 9.13714e+08 6.38250e+10 6.49393e+10 1.22536e+10 -6.02925e+09 -2.37212e+10 7.09686e+10 5.74638e+10 3.08960e-01 -1.75945e-01 26 9.12396e-01 0.00000e+00 0.00000e+00
6.69545e+10 5.69257e+08 5.69257e+08 -5.04286e+09 1.31069e+10 3.16614e-01 7.80379e-03 7.80379e-03 -1.76826e-01 0.00000e+00 -4.90121e-01 0.00000e+00 1.04222e+05 0.00000e+00 -2.54883e+02 0.00000e+00 0.00000e+00 7.71917e+08 6.48638e+10 6.69590e+10 1.31069e+10 -5.04737e+09 -2.50061e+10 7.20063e+10 5.87259e+10 3.16645e-01 -1.76857e-01 28 1.06543e+00 0.00000e+00 0.00000e+00
6.32478e+10 5.43857e+08 5.43857e+08 -7.41322e+09 1.12258e+10 3.03299e-01 7.39980e-03 7.39980e-03 -1.77496e-01 0.00000e+00 -4.49121e-01 0.00000e+00 -3.80217e+06 0.00000e+00 -2.87523e+02 0.00000e+00 0.00000e+00 1.11433e+09 6.34397e+10 6.32520e+10 1.12258e+10 -7.41741e+09 -2.23535e+10 7.06694e+10 5.67546e+10 3.03328e-01 -1.77524e-01 30 1.21755e+00 0.00000e+00 0.00000e+00
5.70920e+10 5.91886e+08 5.91886e+08 -1.09513e+10 8.36762e+09 2.80583e-01 7.95963e-03 7.95963e-03 -1.77181e-01 0.00000e+00 -4.11274e-01 0.00000e+00 -4.70406e+06 0.00000e+00 -4.07859e+02 0.00000e+00 0.00000e+00 1.60626e+09 6.07472e+10 5.70972e+10 8.36762e+09 -1.09565e+10 -1.81694e+10 6.80537e+10 5.31185e+10 2.80618e-01 -1.77216e-01 32 1.36650e+00 0.00000e+00 0.00000e+00
5.57171e+10 5.66271e+08 5.66271e+08 -1.15875e+10 7.81479e+09 2.75295e-01 7.59841e-03 7.59841e-03 -1.76483e-01 0.00000e+00 -3.77136e-01 0.00000e+00 5.61988e+06 0.00000e+00 -3.48723e+02 0.00000e+00 0.00000e+00 1.69599e+09 6.00141e+10 5.57219e+10 7.81479e+09 -1.15923e+10 -1.73148e+10 6.73142e+10 5.22112e+10 2.75327e-01 -1.76516e-01 34 1.51175e+00 0.00000e+00 0.00000e+00
6.02543e+10 4.27952e+08 4.27952e+08 -9.06967e+09 9.85990e+09 2.92178e-01 5.78820e-03 5.78820e-03 -1.77026e-01 0.00000e+00 -3.40798e-01 0.00000e+00 6.35221e+06 0.00000e+00 -2.41316e+02 0.00000e+00 0.00000e+00 1.34862e+09 6.20703e+10 6.02570e+10 9.85990e+09 -9.07241e+09 -2.03482e+10 6.93294e+10 5.49776e+10 2.92197e-01 -1.77045e-01 36 1.65920e+00 0.00000e+00 0.00000e+00
6.01451e+10 3.87973e+08 3.87973e+08 -9.33199e+09 9.70278e+09 2.92048e-01 5.24522e-03 5.24522e-03 -1.77848e-01 0.00000e+00 -3.01533e-01 0.00000e+00 -4.05410e+06 0.00000e+00 -1.46176e+02 0.00000e+00 0.00000e+00 1.39262e+09 6.21910e+10 6.01473e+10 9.70278e+09 -9.33418e+09 -2.01720e+10 6.94814e+10 5.50258e+10 2.92063e-01 -1.77863e-01 38 1.80958e+00 0.00000e+00 0.00000e+00
5.55321e+10 4.06979e+08 4.06979e+08 -1.17909e+10 7.67769e+09 2.74746e-01 5.46067e-03 5.46067e-03 -1.76881e-01 0.00000e+00 -2.65234e-01 0.00000e+00 -2.49078e+06 0.00000e+00 -2.07624e+02 0.00000e+00 0.00000e+00 1.73290e+09 6.00116e+10 5.55345e+10 7.67769e+09 -1.17934e+10 -1.71396e+10 6.73279e+10 5.21531e+10 2.74763e-01 -1.76897e-01 40 1.95699e+00 0.00000e+00 0.00000e+00
5.37627e+10 2.99473e+08 2.99473e+08 -1.25771e+10 6.99229e+09 2.67889e-01 4.00637e-03 4.00637e-03 -1.75898e-01 0.00000e+00 -2.31149e-01 0.00000e+00 1.20320e+06 0.00000e+00 -2.38779e+02 0.00000e+00 0.00000e+00 1.82403e+09 5.90423e+10 5.37641e+10 6.99229e+09 -1.25786e+10 -1.60593e+10 6.63427e+10 5.09383e+10 2.67899e-01 -1.75908e-01 42 2.10218e+00 0.00000e+00 0.00000e+00
5.56810e+10 9.78722e+07 9.78722e+07 -1.21645e+10 7.49990e+09 2.75921e-01 1.30958e-03 1.30958e-03 -1.78775e-01 0.00000e+00 -1.96951e-01 0.00000e+00 3.65148e+06 0.00000e+00 -6.23602e+01 0.00000e+00 0.00000e+00 1.77498e+09 6.04625e+10 5.56813e+10 7.49990e+09 -1.21648e+10 -1.70055e+10 6.78461e+10 5.25057e+10 2.75923e-01 -1.78777e-01 44 2.24749e+00 0.00000e+00 0.00000e+00
5.92938e+10 -1.34585e+08 -1.34585e+08 -1.21467e+10 8.03600e+09 2.92021e-01 -1.80561e-03 -1.80561e-03 -1.87336e-01 0.00000e+00 -1.60556e-01 0.00000e+00 3.19121e+06 0.00000e+00 -3.91052e+01 0.00000e+00 0.00000e+00 1.81152e+09 6.37916e+10 5.92943e+10 8.03600e+09 -1.21471e+10 -1.83944e+10 7.14414e+10 5.58990e+10 2.92024e-01 -1.87339e-01 46 2.39500e+00 0.00000e+00 0.00000e+00
6.02727e+10 -2.75542e+08 -2.75542e+08 -1.46747e+10 6.80552e+09 2.99593e-01 -3.67210e-03 -3.67210e-03 -1.99955e-01 0.00000e+00 -1.21484e-01 0.00000e+00 -2.49884e+06 0.00000e+00 -1.49290e+02 0.00000e+00 0.00000e+00 2.20333e+09 6.68513e+10 6.02737e+10 6.80552e+09 -1.46757e+10 -1.74678e+10 7.49495e+10 5.82829e+10 2.99600e-01 -1.99961e-01 48 2.54518e+00 0.00000e+00 0.00000e+00
5.98821e+10 -1.71310e+08 -1.71310e+08 -1.77672e+10 5.06135e+09 3.01663e-01 -2.26808e-03 -2.26808e-03 -2.11501e-01 0.00000e+00 -8.27884e-02 0.00000e+00 3.67054e+05 0.00000e+00 -1.14610e+02 0.00000e+00 0.00000e+00 2.66924e+09 6.91237e+10 5.98827e+10 5.06135e+09 -1.77678e+10 -1.57254e+10 7.76506e+10 5.97133e+10 3.01666e-01 -2.11504e-01 50 2.69499e+00 0.00000e+00 0.00000e+00
6.32951e+10 1.13818e+06 1.13818e+06 -1.72798e+10 5.75387e+09 3.16058e-01 1.79847e-05 1.79847e-05 -2.17584e-01 0.00000e+00 -4.31535e-02 0.00000e+00 5.47665e+06 0.00000e+00 -1.50185e+01 0.00000e+00 0.00000e+00 2.63920e+09 7.18846e+10 6.32951e+10 5.75387e+09 -1.72798e+10 -1.72564e+10 8.05749e+10 6.27220e+10 3.16059e-01 -2.17584e-01 52 2.84574e+00 0.00000e+00 0.00000e+00
6.62214e+10 5.19065e+07 5.19065e+07 -1.59119e+10 6.86529e+09 3.27272e-01 6.90464e-04 6.90464e-04 -2.19000e-01 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 0.00000e+00 2.95553e+09 1.23359e+09 7.34433e+10 6.62214e+10 6.86529e+09 -1.59119e+10 -1.90583e+10 8.21333e+10 6.47512e+10 3.27272e-01 -2.19001e-01 54 3.00000e+00 0.00000e+00 0.00000e+00
