 mpm_F12   mpm_F11   mpm_F22   mpm_S22   mpm_S21   mpm_F21   mpm_S12   mpm_V2   mpm_V1   mpm_S11   vtkOriginalPointIds   Points:0   Points:1   Points:2 
1.10206e-02 1.35012e+00 8.44179e-01 -6.29852e+09 6.05893e+08 -5.25163e-04 6.05893e+08 0.00000e+00 -4.42854e+02 7.19769e+10 22 1.20534e+00 -1.15666e-02 0.00000e+00
7.14224e-03 1.30540e+00 8.43701e-01 -1.21789e+10 4.39015e+08 4.65109e-05 4.39015e+08 0.00000e+00 -3.54054e+02 5.93924e+10 23 1.35316e+00 -1.15986e-02 0.00000e+00
9.57393e-03 1.28076e+00 8.45138e-01 -1.46105e+10 7.20354e+08 1.39056e-03 7.20354e+08 0.00000e+00 -3.28856e+02 5.29712e+10 24 1.49707e+00 -1.13922e-02 0.00000e+00
1.01451e-02 1.31306e+00 8.46302e-01 -1.02692e+10 5.94337e+08 -2.25836e-04 5.94337e+08 0.00000e+00 -3.31248e+02 6.20040e+10 25 1.64104e+00 -1.13014e-02 0.00000e+00
8.72845e-03 1.30251e+00 8.44737e-01 -1.21497e+10 4.06201e+08 -1.33990e-03 4.06201e+08 0.00000e+00 -2.11926e+02 5.87996e+10 26 1.78702e+00 -1.14245e-02 0.00000e+00
9.59611e-03 1.34204e+00 8.43050e-01 -7.80112e+09 5.40209e+08 -3.46317e-04 5.40209e+08 0.00000e+00 -2.66259e+02 6.94511e+10 27 1.93356e+00 -1.15197e-02 0.00000e+00
5.44223e-03 1.34891e+00 8.37173e-01 -9.18728e+09 -2.06086e+08 -5.53146e-03 -2.06086e+08 0.00000e+00 -1.02744e+02 7.01652e+10 28 2.08395e+00 -1.19293e-02 0.00000e+00
7.24196e-03 1.34157e+00 8.33329e-01 -1.16092e+10 5.92663e+08 1.68773e-03 5.92663e+08 0.00000e+00 -9.72028e+01 6.73311e+10 29 2.23333e+00 -1.23468e-02 0.00000e+00
2.79057e-03 1.35244e+00 8.26061e-01 -1.30416e+10 -7.00591e+08 -8.95522e-03 -7.00591e+08 0.00000e+00 -1.93756e+02 6.88786e+10 30 2.38265e+00 -1.26024e-02 0.00000e+00
1.10080e-04 1.35134e+00 8.26068e-01 -1.31799e+10 8.72208e+08 8.96197e-03 8.72208e+08 0.00000e+00 -1.36567e+02 6.85711e+10 31 2.53303e+00 -1.31577e-02 0.00000e+00
3.19633e-03 1.34496e+00 8.27836e-01 -1.32784e+10 -5.03398e+08 -7.19438e-03 -5.03398e+08 0.00000e+00 -2.35210e+02 6.71757e+10 32 2.68246e+00 -1.21220e-02 0.00000e+00
-1.99964e-02 1.37142e+00 8.17143e-01 -1.42176e+10 -1.50715e+09 -3.49854e-03 -1.50715e+09 0.00000e+00 -2.28050e+02 7.23040e+10 33 2.83332e+00 -1.46733e-02 0.00000e+00
