 P_11   P_12   strain_11   strain_12   P_21   velocity_x   P_22   strain_21   strain_22   S_21   S_22   velocity_y   S_11   S_12   vtkOriginalPointIds   Points:0   Points:1   Points:2 
5.32703e+10 9.61203e+09 1.30414e+00 1.47235e-01 5.11856e+09 -6.77257e+02 7.88109e+09 -1.43329e-02 8.94629e-01 6.70387e+09 5.96946e+09 -8.59000e+00 6.06479e+10 6.70387e+09 16 1.02587e-01 -4.57058e-03 0.00000e+00
5.42889e+10 9.92320e+09 1.32791e+00 1.51091e-01 5.64069e+09 -6.13194e+02 3.05262e+09 -1.34059e-02 8.74652e-01 6.83426e+09 2.22982e+09 -9.93762e+00 6.32497e+10 6.83426e+09 17 3.95377e-01 -6.47006e-03 0.00000e+00
5.46451e+10 9.95298e+09 1.33759e+00 1.50852e-01 5.83831e+09 -5.84569e+02 8.93127e+08 -1.24388e-02 8.66446e-01 6.84340e+09 6.04074e+08 -1.06414e+01 6.42596e+10 6.84340e+09 18 5.43577e-01 -7.30357e-03 0.00000e+00
5.49079e+10 9.90041e+09 1.34579e+00 1.49263e-01 5.98135e+09 -5.57889e+02 -1.06933e+09 -1.12573e-02 8.59375e-01 6.81221e+09 -8.51554e+08 -1.13768e+01 6.50761e+10 6.81221e+09 19 6.92745e-01 -8.04898e-03 0.00000e+00
5.50990e+10 9.76682e+09 1.35263e+00 1.46403e-01 6.06078e+09 -5.32635e+02 -2.80746e+09 -9.94357e-03 8.53386e-01 6.73747e+09 -2.12508e+09 -1.21437e+01 6.57210e+10 6.73747e+09 20 8.42724e-01 -8.69929e-03 0.00000e+00
5.52471e+10 9.55370e+09 1.35829e+00 1.42351e-01 6.06901e+09 -5.08165e+02 -4.29511e+09 -8.56875e-03 8.48410e-01 6.61583e+09 -3.20388e+09 -1.29361e+01 6.62285e+10 6.61583e+09 21 9.93374e-01 -9.25610e-03 0.00000e+00
5.53838e+10 9.26281e+09 1.36300e+00 1.37186e-01 6.00090e+09 -4.83799e+02 -5.51201e+09 -7.18848e-03 8.44363e-01 6.44445e+09 -4.07802e+09 -1.37457e+01 6.66395e+10 6.44445e+09 22 1.14458e+00 -9.72048e-03 0.00000e+00
5.55389e+10 8.89647e+09 1.36701e+00 1.30981e-01 5.85464e+09 -4.58889e+02 -6.44691e+09 -5.84058e-03 8.41153e-01 6.22174e+09 -4.74266e+09 -1.45655e+01 6.69959e+10 6.22174e+09 23 1.29625e+00 -1.00969e-02 0.00000e+00
5.57366e+10 8.45791e+09 1.37055e+00 1.23807e-01 5.63216e+09 -4.32839e+02 -7.09820e+09 -4.54295e-03 8.38686e-01 5.94800e+09 -5.19882e+09 -1.53919e+01 6.73350e+10 5.94800e+09 24 1.44833e+00 -1.03911e-02 0.00000e+00
5.59926e+10 7.95171e+09 1.37378e+00 1.15734e-01 5.33924e+09 -4.05111e+02 -7.47187e+09 -3.29350e-03 8.36880e-01 5.62592e+09 -5.45239e+09 -1.62233e+01 6.76844e+10 5.62592e+09 25 1.60077e+00 -1.06089e-02 0.00000e+00
5.63122e+10 7.38416e+09 1.37681e+00 1.06835e-01 4.98528e+09 -3.75204e+02 -7.57760e+09 -2.07003e-03 8.35679e-01 5.26092e+09 -5.51166e+09 -1.70563e+01 6.80576e+10 5.26092e+09 26 1.75355e+00 -1.07542e-02 0.00000e+00
5.66890e+10 6.76327e+09 1.37960e+00 9.71932e-02 4.58278e+09 -3.42640e+02 -7.42375e+09 -8.28441e-04 8.35070e-01 4.86125e+09 -5.38403e+09 -1.78823e+01 6.84511e+10 4.86125e+09 27 1.90664e+00 -1.08285e-02 0.00000e+00
5.71055e+10 6.09859e+09 1.38201e+00 8.68903e-02 4.14670e+09 -3.06982e+02 -7.01270e+09 4.99845e-04 8.35094e-01 4.43775e+09 -5.07268e+09 -1.86827e+01 6.88438e+10 4.43775e+09 28 2.05999e+00 -1.08293e-02 0.00000e+00
5.75352e+10 5.40088e+09 1.38379e+00 7.60117e-02 3.69396e+09 -2.67879e+02 -6.33742e+09 2.00952e-03 8.35849e-01 4.00345e+09 -4.57394e+09 -1.94245e+01 6.91985e+10 4.00345e+09 29 2.21355e+00 -1.07481e-02 0.00000e+00
5.79465e+10 4.68197e+09 1.38459e+00 6.46453e-02 3.24311e+09 -2.25141e+02 -5.38009e+09 3.82228e-03 8.37490e-01 3.57325e+09 -3.87582e+09 -2.00559e+01 6.94664e+10 3.57325e+09 30 2.36723e+00 -1.05701e-02 0.00000e+00
5.83065e+10 3.95479e+09 1.38401e+00 5.28864e-02 2.81454e+09 -1.78836e+02 -4.11290e+09 6.08822e-03 8.40214e-01 3.16361e+09 -2.95780e+09 -2.05043e+01 6.95940e+10 3.16361e+09 31 2.52091e+00 -1.02725e-02 0.00000e+00
5.85864e+10 3.23383e+09 1.38166e+00 4.08509e-02 2.43089e+09 -1.29372e+02 -2.50251e+09 8.98337e-03 8.44242e-01 2.79261e+09 -1.79308e+09 -2.06737e+01 6.95304e+10 2.79261e+09 32 2.67443e+00 -9.82106e-03 0.00000e+00
5.87637e+10 2.53087e+09 1.37710e+00 2.85567e-02 2.11896e+09 -7.74907e+01 -4.91986e+08 1.28149e-02 8.49872e-01 2.48205e+09 -3.34166e+08 -2.05476e+01 6.92276e+10 2.48205e+09 33 2.82758e+00 -9.22606e-03 0.00000e+00
