 Displacements:0   Displacements:1   Displacements:2   Equivalent_Plastic_Strain   Piola_Stress:0   Piola_Stress:1   Piola_Stress:2   Piola_Stress:3   Piola_Stress:4   Piola_Stress:5   Piola_Stress:6   Piola_Stress:7   Piola_Stress:8   vtkValidPointMask   Time   PointCoordinates:0   PointCoordinates:1   PointCoordinates:2 
0.00000e+00 1.43096e-01 0.00000e+00 1.97874e-01 -4.31316e+08 -8.04083e+08 0.00000e+00 -1.02926e+09 3.72000e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.17493e+09 1 3.33951e-04 0.00000e+00 3.14310e+00 0.00000e+00
0.00000e+00 1.48837e-01 0.00000e+00 1.97874e-01 -8.47652e+08 -8.08447e+08 0.00000e+00 -9.82208e+08 -2.50175e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.39903e+09 1 3.47190e-04 0.00000e+00 3.14884e+00 0.00000e+00
0.00000e+00 1.54783e-01 0.00000e+00 1.97874e-01 -1.65424e+08 -7.53596e+08 0.00000e+00 -9.90135e+08 5.20559e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.04916e+09 1 3.60427e-04 0.00000e+00 3.15478e+00 0.00000e+00
0.00000e+00 1.60549e-01 0.00000e+00 1.97874e-01 -4.68190e+08 -8.02307e+08 0.00000e+00 -1.02035e+09 3.94138e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.25899e+09 1 3.73666e-04 0.00000e+00 3.16055e+00 0.00000e+00
0.00000e+00 1.66381e-01 0.00000e+00 1.97874e-01 -6.16784e+08 -7.91561e+08 0.00000e+00 -9.87432e+08 -2.27452e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.28590e+09 1 3.86904e-04 0.00000e+00 3.16638e+00 0.00000e+00
0.00000e+00 1.72294e-01 0.00000e+00 1.97874e-01 1.52567e+08 -7.75756e+08 0.00000e+00 -1.05894e+09 5.67753e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.74964e+08 1 4.00142e-04 0.00000e+00 3.17229e+00 0.00000e+00
0.00000e+00 1.77994e-01 0.00000e+00 1.97874e-01 -6.64296e+08 -7.75729e+08 0.00000e+00 -9.57219e+08 -2.69557e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.37439e+09 1 4.13381e-04 0.00000e+00 3.17799e+00 0.00000e+00
0.00000e+00 1.83915e-01 0.00000e+00 1.97874e-01 -6.94306e+07 -7.59946e+08 0.00000e+00 -1.01006e+09 3.27501e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.04342e+09 1 4.26619e-04 0.00000e+00 3.18391e+00 0.00000e+00
0.00000e+00 1.89740e-01 0.00000e+00 1.97874e-01 -1.43178e+07 -7.85514e+08 0.00000e+00 -1.05241e+09 3.33635e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.08298e+09 1 4.39857e-04 0.00000e+00 3.18974e+00 0.00000e+00
0.00000e+00 1.95477e-01 0.00000e+00 1.97874e-01 -5.09870e+08 -7.68806e+08 0.00000e+00 -9.65936e+08 -2.49596e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.31808e+09 1 4.53096e-04 0.00000e+00 3.19548e+00 0.00000e+00
0.00000e+00 2.01423e-01 0.00000e+00 1.97874e-01 2.80642e+08 -7.43888e+08 0.00000e+00 -1.02888e+09 4.92012e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.19940e+08 1 4.66334e-04 0.00000e+00 3.20142e+00 0.00000e+00
0.00000e+00 2.07178e-01 0.00000e+00 1.97874e-01 -1.13848e+08 -7.75325e+08 0.00000e+00 -1.02368e+09 6.65182e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.17326e+09 1 4.79572e-04 0.00000e+00 3.20718e+00 0.00000e+00
0.00000e+00 2.12981e-01 0.00000e+00 1.97874e-01 -2.80635e+08 -7.73079e+08 0.00000e+00 -1.00052e+09 -7.45515e+07 0.00000e+00 0.00000e+00 0.00000e+00 -1.21693e+09 1 4.92811e-04 0.00000e+00 3.21298e+00 0.00000e+00
0.00000e+00 2.18896e-01 0.00000e+00 1.97874e-01 4.48061e+08 -7.44202e+08 0.00000e+00 -1.05039e+09 5.47109e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.63430e+08 1 5.06048e-04 0.00000e+00 3.21890e+00 0.00000e+00
0.00000e+00 2.24592e-01 0.00000e+00 1.97874e-01 -2.43102e+08 -7.41307e+08 0.00000e+00 -9.59159e+08 -1.89945e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.24532e+09 1 5.19287e-04 0.00000e+00 3.22459e+00 0.00000e+00
0.00000e+00 2.30479e-01 0.00000e+00 1.97874e-01 1.32448e+08 -7.57275e+08 0.00000e+00 -1.02839e+09 1.74119e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.05144e+09 1 5.32525e-04 0.00000e+00 3.23048e+00 0.00000e+00
0.00000e+00 2.36346e-01 0.00000e+00 1.97874e-01 3.99631e+08 -7.57143e+08 0.00000e+00 -1.06184e+09 4.32850e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.14848e+08 1 5.45764e-04 0.00000e+00 3.23635e+00 0.00000e+00
0.00000e+00 2.42046e-01 0.00000e+00 1.97874e-01 -2.17640e+08 -7.48819e+08 0.00000e+00 -9.72461e+08 -2.57137e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.25492e+09 1 5.59002e-04 0.00000e+00 3.24205e+00 0.00000e+00
0.00000e+00 2.47967e-01 0.00000e+00 1.97874e-01 4.34635e+08 -7.28907e+08 0.00000e+00 -1.02615e+09 3.84866e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.08945e+08 1 5.72240e-04 0.00000e+00 3.24797e+00 0.00000e+00
0.00000e+00 2.53762e-01 0.00000e+00 1.97874e-01 2.98462e+08 -7.38088e+08 0.00000e+00 -1.02140e+09 1.88676e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.84894e+08 1 5.85478e-04 0.00000e+00 3.25376e+00 0.00000e+00
0.00000e+00 2.59525e-01 0.00000e+00 1.97874e-01 -5.69274e+07 -7.50885e+08 0.00000e+00 -9.94399e+08 -1.73806e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.20408e+09 1 5.98717e-04 0.00000e+00 3.25953e+00 0.00000e+00
0.00000e+00 2.65455e-01 0.00000e+00 1.97874e-01 7.18529e+08 -7.35224e+08 0.00000e+00 -1.06946e+09 5.35808e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.05253e+08 1 6.11955e-04 0.00000e+00 3.26546e+00 0.00000e+00
0.00000e+00 2.71174e-01 0.00000e+00 1.97874e-01 3.30968e+07 -7.38873e+08 0.00000e+00 -9.89235e+08 -1.12943e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.13118e+09 1 6.25194e-04 0.00000e+00 3.27117e+00 0.00000e+00
0.00000e+00 2.77014e-01 0.00000e+00 1.97874e-01 3.61730e+08 -7.27978e+08 0.00000e+00 -1.01418e+09 1.15884e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.99404e+08 1 6.38432e-04 0.00000e+00 3.27701e+00 0.00000e+00
0.00000e+00 2.82875e-01 0.00000e+00 1.97874e-01 6.19586e+08 -7.13871e+08 0.00000e+00 -1.02685e+09 3.87112e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.61447e+08 1 6.51670e-04 0.00000e+00 3.28288e+00 0.00000e+00
0.00000e+00 2.88610e-01 0.00000e+00 1.97874e-01 7.14523e+07 -7.40934e+08 0.00000e+00 -9.96038e+08 -2.04089e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.14791e+09 1 6.64909e-04 0.00000e+00 3.28861e+00 0.00000e+00
0.00000e+00 2.94518e-01 0.00000e+00 1.97874e-01 6.58521e+08 -7.31620e+08 0.00000e+00 -1.05600e+09 3.84116e+08 0.00000e+00 0.00000e+00 0.00000e+00 -8.65010e+08 1 6.78147e-04 0.00000e+00 3.29452e+00 0.00000e+00
0.00000e+00 3.00290e-01 0.00000e+00 1.97874e-01 4.91240e+08 -7.22992e+08 0.00000e+00 -1.02239e+09 1.33601e+08 0.00000e+00 0.00000e+00 0.00000e+00 -9.55838e+08 1 6.91385e-04 0.00000e+00 3.30029e+00 0.00000e+00
0.00000e+00 3.06061e-01 0.00000e+00 1.97874e-01 2.20334e+08 -7.12994e+08 0.00000e+00 -9.75169e+08 -1.30873e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.07816e+09 1 7.04624e-04 0.00000e+00 3.30606e+00 0.00000e+00
0.00000e+00 3.11975e-01 0.00000e+00 1.97874e-01 8.51099e+08 -7.12047e+08 0.00000e+00 -1.05295e+09 5.02142e+08 0.00000e+00 0.00000e+00 0.00000e+00 -7.74918e+08 1 7.17862e-04 0.00000e+00 3.31198e+00 0.00000e+00
0.00000e+00 3.17702e-01 0.00000e+00 1.97874e-01 2.83559e+08 -7.33395e+08 0.00000e+00 -1.01099e+09 -1.19711e+08 0.00000e+00 0.00000e+00 0.00000e+00 -1.07418e+09 1 7.31101e-04 0.00000e+00 3.31770e+00 0.00000e+00
